SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,Latitude,Longitude
崙背,雲林縣,76,細懸浮微粒,普通,1.6,0.18,0.2,47,52,37,21,3.6,5.8,2.2,2.3,339,2018-07-13 16:00,26,44,23.757547,120.348742
富貴角,新北市,18,,良好,0.8,0.05,0.1,19,19,7,4,0.7,1.3,0.6,7,85,2018-07-13 16:00,2,5,25.298562,121.536763
麥寮,雲林縣,72,細懸浮微粒,普通,3.2,0.24,0.2,42,37,65,21,7.4,9.9,2.5,3.4,7.7,2018-07-13 16:00,24,58,23.753506,120.251825
關山,臺東縣,10,,設備維護,1,-,,14,14,6,7,1.2,3.3,2.1,0.9,338,2018-07-13 16:00,6,,23.045083,121.161933
馬公,澎湖縣,44,,良好,1.3,0.14,0.2,39,48,10,2,2,3.6,1.6,2.1,264,2018-07-13 16:00,14,23,23.569031,119.566158
金門,金門縣,62,細懸浮微粒,普通,3.3,0.14,0.2,62,56,31,21,4,5,1,2.5,146,2018-07-13 16:00,20,38,24.432133,118.312256
馬祖,連江縣,31,,良好,3.5,0.05,0.1,24,21,35,8,1.1,1.7,0.6,2.7,317,2018-07-13 16:00,9,33,26.160469,119.949875
埔里,南投縣,58,細懸浮微粒,普通,3.3,0.33,0.2,51,49,36,26,12,12,0.7,3.1,255,2018-07-13 16:00,18,30,23.968842,120.967903
復興,高雄市,27,,良好,7.1,0.34,0.5,15,29,27,ND,18,26,8.5,0.9,217,2018-07-13 16:00,5,27,22.608711,120.312017
永和,新北市,15,,良好,6.4,0.11,0.1,14,16,16,ND,6.1,9.8,3.8,3.5,101,2018-07-13 16:00,2,12,25.017,121.516306
竹山,南投縣,8,,設備維護,,,0.2,,47,,,,,,,,2018-07-13 16:00,,,23.756389,120.677306
中壢,桃園市,69,細懸浮微粒,普通,3.2,0.68,0.7,44,43,60,25,29,44,15,1.6,210,2018-07-13 16:00,23,58,24.953278,121.221667
三重,新北市,25,,良好,3,0.71,0.7,-,,40,4,15,56,41,,,2018-07-13 16:00,5,27,25.072611,121.493806
冬山,宜蘭縣,24,,良好,1.5,0.08,0.1,16,17,18,6,2.9,5.9,3,5.4,151,2018-07-13 16:00,7,15,24.632203,121.792928
宜蘭,宜蘭縣,23,,良好,2.2,0.11,0.1,19,19,28,6,4.1,5.4,1.3,4.8,138,2018-07-13 16:00,4,25,24.747917,121.746394
陽明,臺北市,17,,良好,0.3,0.04,0.1,17,18,3,2,0.7,1.7,1,,,2018-07-13 16:00,2,5,25.182722,121.529583
花蓮,花蓮縣,18,,良好,1.5,0.09,0.1,21,19,17,ND,1,1.8,0.8,3,139,2018-07-13 16:00,1,14,23.971306,121.599769
臺東,臺東縣,14,,良好,1.4,0.25,0.2,15,15,14,2,4.4,9.4,5,2.7,57,2018-07-13 16:00,3,14,22.755358,121.15045
恆春,屏東縣,23,,良好,2.1,0.04,0.1,18,20,12,ND,1,1.9,0.9,5.7,55,2018-07-13 16:00,7,9,21.958069,120.788928
潮州,屏東縣,42,,良好,7.3,0.27,0.2,80,45,30,15,11,13,1.5,2.3,318,2018-07-13 16:00,12,22,22.523108,120.561175
屏東,屏東縣,49,,良好,5.6,0.34,0.3,,53,,,12,13,0.6,2.8,297,2018-07-13 16:00,13,25,22.673081,120.488033
小港,高雄市,36,,良好,11,0.28,0.3,14,24,58,7,15,28,13,2.5,174,2018-07-13 16:00,6,39,22.565833,120.337736
前鎮,高雄市,25,,良好,8.4,0.34,0.4,13,25,27,13,17,31,14,2,207,2018-07-13 16:00,8,26,22.605386,120.307564
前金,高雄市,32,,良好,10,0.19,0.3,19,29,43,9,17,27,10,3.1,315,2018-07-13 16:00,10,35,22.632567,120.288086
左營,高雄市,43,,良好,2,0.18,0.3,46,46,58,8,6.8,7.7,0.9,3.2,332,2018-07-13 16:00,9,37,22.674861,120.292917
楠梓,高雄市,69,細懸浮微粒,普通,2.9,0.2,0.3,52,57,40,24,8,9.4,1.4,3.7,291,2018-07-13 16:00,23,39,22.733667,120.328289
林園,高雄市,24,,良好,0.2,0.05,0.1,20,26,24,11,1.1,0.9,-0.2,3.4,141,2018-07-13 16:00,5,20,22.4795,120.41175
大寮,高雄市,31,,良好,3.8,0.21,0.1,46,33,34,21,10,12,1.5,3.3,333,2018-07-13 16:00,8,17,22.565747,120.425081
鳳山,高雄市,51,臭氧八小時,普通,7.2,0.43,0.5,47,55,36,8,,,,2.6,352,2018-07-13 16:00,11,23,22.627392,120.358083
仁武,高雄市,58,臭氧八小時,普通,3.9,0.2,0.3,56,57,63,14,9,10,1.3,2.1,322,2018-07-13 16:00,13,46,22.689056,120.332631
橋頭,高雄市,47,,良好,2.9,0.2,0.3,49,51,27,6,8.1,9.8,1.7,3.6,305,2018-07-13 16:00,5,30,22.757506,120.305689
美濃,高雄市,43,,良好,2.1,0.2,0.2,63,46,41,21,5.7,6.3,0.6,2.4,310,2018-07-13 16:00,12,33,22.883583,120.530542
